# timestamp x y z qx qy qz qw
1726035539.411232 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035539.512517 0.001279 0.000848 0.000083 0.000000 0.000000 0.000018 1.000000
1726035539.612536 0.000570 -0.000270 0.004936 0.000000 0.000000 0.000110 1.000000
1726035539.712510 0.001471 -0.001755 0.005397 0.000000 0.000000 0.000158 1.000000
1726035539.811143 0.001733 0.001718 0.002530 0.000000 0.000000 0.000226 1.000000
1726035539.911128 -0.002125 0.000859 0.008670 0.000000 0.000000 -0.000043 1.000000
1726035540.012465 0.001050 0.000229 0.004438 0.000000 0.000000 -0.000021 1.000000
1726035540.112530 0.000213 0.000335 -0.000486 0.000000 0.000000 0.000099 1.000000
1726035540.212503 0.001751 0.000153 0.001404 0.000000 0.000000 0.000135 1.000000
1726035540.312558 -0.000091 -0.000239 0.003454 0.000000 0.000000 -0.000001 1.000000
1726035540.412514 -0.001419 0.001716 -0.002287 0.000000 0.000000 -0.000105 1.000000
1726035540.512551 -0.001166 0.000630 0.005144 0.000000 0.000000 -0.000039 1.000000
1726035540.612479 -0.001846 0.000025 0.007463 0.000000 0.000000 -0.000010 1.000000
1726035540.712546 0.000163 -0.001289 0.003436 0.000000 0.000000 0.000170 1.000000
1726035540.812524 -0.000778 -0.001569 0.004799 0.000000 0.000000 0.000083 1.000000
1726035540.912492 0.000403 0.000295 0.001610 0.000000 0.000000 -0.000034 1.000000
1726035541.012540 0.001276 -0.002322 0.005945 0.000000 0.000000 0.000103 1.000000
1726035541.112509 0.000145 0.001876 0.004620 0.000000 0.000000 -0.000372 1.000000
1726035541.212548 -0.001057 -0.000302 0.003778 0.000000 0.000000 -0.000056 1.000000
1726035541.312542 -0.000200 -0.000105 -0.000569 0.000000 0.000000 -0.000025 1.000000
1726035541.412452 0.000948 -0.001202 0.001594 0.000000 0.000000 -0.000019 1.000000
1726035541.512492 0.000947 -0.001130 0.004918 0.000000 0.000000 0.000114 1.000000
1726035541.612530 -0.001337 0.000680 0.007820 0.000000 0.000000 -0.000063 1.000000
1726035541.712410 -0.001166 -0.000534 0.001486 0.000000 0.000000 0.000122 1.000000
1726035541.812435 -0.000480 0.000697 0.001603 0.000000 0.000000 -0.000106 1.000000
1726035541.912454 -0.000853 -0.000694 0.002907 0.000000 0.000000 0.000161 1.000000
1726035542.012474 -0.001128 -0.000540 0.004333 0.000000 0.000000 0.000073 1.000000
1726035542.112341 0.000665 0.000573 0.002570 0.000000 0.000000 0.000172 1.000000
1726035542.212436 -0.000224 -0.000547 0.004116 0.000000 0.000000 0.000164 1.000000
1726035542.312324 -0.000921 0.000445 -0.000231 0.000000 0.000000 0.000070 1.000000
1726035542.412491 -0.001083 0.002868 0.002351 0.000000 0.000000 -0.000052 1.000000
1726035542.512311 -0.001691 0.000973 -0.001567 0.000000 0.000000 -0.000090 1.000000
1726035542.612293 0.000874 0.000496 0.005722 0.000000 0.000000 0.000083 1.000000
1726035542.712310 -0.000688 0.001080 0.003473 0.000000 0.000000 0.000255 1.000000
1726035542.812322 -0.002520 0.000874 0.003197 0.000000 0.000000 0.000020 1.000000
1726035542.912390 -0.001724 0.001051 0.002553 0.000000 0.000000 0.000180 1.000000
1726035543.012342 -0.000677 0.001633 0.002291 0.000000 0.000000 0.000170 1.000000
1726035543.112403 -0.002353 0.002588 0.002934 0.000000 0.000000 0.000026 1.000000
1726035543.212356 -0.001204 -0.000748 0.005432 0.000000 0.000000 -0.000095 1.000000
1726035543.312416 -0.003019 0.000529 0.005397 0.000000 0.000000 0.000087 1.000000
1726035543.412240 -0.001013 0.001087 0.001305 0.000000 0.000000 0.000112 1.000000
1726035543.512382 -0.002815 0.000661 0.009193 0.000000 0.000000 -0.000016 1.000000
1726035543.612423 -0.002016 -0.000085 0.000216 0.000000 0.000000 0.000095 1.000000
1726035543.712301 -0.002892 0.001206 0.003330 0.000000 0.000000 0.000087 1.000000
1726035543.812345 -0.004352 0.001078 0.005963 0.000000 0.000000 0.000200 1.000000
1726035543.912321 -0.004199 0.003747 0.004179 0.000000 0.000000 -0.000030 1.000000
1726035544.012327 -0.002796 0.001512 0.004276 0.000000 0.000000 0.000037 1.000000
1726035544.112332 -0.004215 0.001858 0.000782 0.000000 0.000000 0.000146 1.000000
1726035544.212400 -0.002914 -0.000625 0.009728 0.000000 0.000000 0.000090 1.000000
1726035544.312281 -0.000529 0.000806 0.002943 0.000000 0.000000 0.000097 1.000000
1726035544.412224 -0.001926 -0.000452 0.002315 0.000000 0.000000 0.000081 1.000000
1726035544.512171 -0.004190 -0.000134 0.004145 0.000000 0.000000 0.000165 1.000000
1726035544.612271 -0.002866 0.003654 0.001995 0.000000 0.000000 0.000196 1.000000
1726035544.712198 -0.002744 0.000222 0.004889 0.000000 0.000000 0.000213 1.000000
1726035544.812273 -0.002470 0.000918 0.001344 0.000000 0.000000 0.000119 1.000000
1726035544.912212 -0.002410 0.000724 0.001281 0.000000 0.000000 0.000123 1.000000
1726035545.012197 -0.002679 0.001096 0.010217 0.000000 0.000000 0.000265 1.000000
1726035545.112280 -0.002213 -0.000459 0.005052 0.000000 0.000000 0.000180 1.000000
1726035545.212153 -0.004773 0.002079 0.006666 0.000000 0.000000 0.000118 1.000000
1726035545.312211 -0.004154 0.001690 0.004787 0.000000 0.000000 0.000026 1.000000
1726035545.412264 -0.003308 0.003198 0.002235 0.000000 0.000000 -0.000186 1.000000
1726035545.512255 -0.004106 0.000512 0.006481 0.000000 0.000000 0.000033 1.000000
1726035545.612239 -0.004604 -0.000010 0.004460 0.000000 0.000000 0.000056 1.000000
1726035545.712303 -0.003357 0.000279 0.008784 0.000000 0.000000 0.000060 1.000000
1726035545.812154 -0.005851 0.003191 0.004760 0.000000 0.000000 -0.000056 1.000000
1726035545.912099 -0.002586 -0.000120 0.005335 0.000000 0.000000 0.000243 1.000000
1726035546.012150 -0.003079 0.000838 0.006718 0.000000 0.000000 0.000060 1.000000
1726035546.112123 -0.002639 0.001737 0.004353 0.000000 0.000000 0.000172 1.000000
1726035546.212112 -0.002760 -0.001499 0.001263 0.000000 0.000000 0.000174 1.000000
1726035546.312124 -0.002902 0.000757 0.003132 0.000000 0.000000 0.000193 1.000000
1726035546.412213 -0.004745 0.001076 0.006157 0.000000 0.000000 0.000277 1.000000
1726035546.512206 -0.002728 0.002827 -0.001476 0.000000 0.000000 0.000176 1.000000
1726035546.612183 -0.004499 0.000643 -0.000309 0.000000 0.000000 0.000241 1.000000
1726035546.712083 -0.003588 0.007252 0.003631 0.000000 0.000000 0.000665 1.000000
1726035546.812170 0.012545 0.004633 -0.006162 0.000000 0.000000 0.000861 1.000000
1726035546.912095 0.029997 0.003742 0.001219 0.000000 0.000000 -0.000159 1.000000
1726035547.012022 0.052685 0.001687 0.008206 0.000000 0.000000 -0.000192 1.000000
1726035547.112093 0.065871 0.003527 0.006447 0.000000 0.000000 0.000301 1.000000
1726035547.212098 0.078617 0.007152 0.007740 0.000000 0.000000 0.000376 1.000000
1726035547.312105 0.089382 0.007725 0.012334 0.000000 0.000000 0.000556 1.000000
1726035547.412157 0.102701 0.006329 0.003119 0.000000 0.000000 0.000468 1.000000
1726035547.512097 0.120117 0.005433 0.007859 0.000000 0.000000 0.000365 1.000000
1726035547.612017 0.135484 0.005815 0.013417 0.000000 0.000000 0.000644 1.000000
1726035547.711971 0.151073 0.005078 0.006933 0.000000 0.000000 0.000640 1.000000
1726035547.812064 0.162649 0.006573 0.006330 0.000000 0.000000 0.000649 1.000000
1726035547.911930 0.178986 0.008045 0.008932 0.000000 0.000000 0.000916 1.000000
1726035548.011987 0.193683 0.004109 0.009480 0.000000 0.000000 0.001596 0.999999
