# timestamp x y z qx qy qz qw
1726035539.411232 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035539.512517 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035539.612536 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035539.712510 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035539.811143 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035539.911128 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035540.012465 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035540.112530 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035540.212503 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035540.312558 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035540.412514 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035540.512551 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035540.612479 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035540.712546 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035540.812524 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035540.912492 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035541.012540 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035541.112509 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035541.212548 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035541.312542 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035541.412452 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035541.512492 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035541.612530 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035541.712410 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035541.812435 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035541.912454 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035542.012474 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035542.112341 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035542.212436 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035542.312324 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035542.412491 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035542.512311 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035542.612293 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035542.712310 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035542.812322 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035542.912390 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035543.012342 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035543.112403 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035543.212356 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035543.312416 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035543.412240 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035543.512382 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035543.612423 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035543.712301 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035543.812345 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035543.912321 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035544.012327 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035544.112332 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035544.212400 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035544.312281 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035544.412224 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035544.512171 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035544.612271 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035544.712198 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035544.812273 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035544.912212 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035545.012197 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035545.112280 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035545.212153 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035545.312211 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035545.412264 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035545.512255 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035545.612239 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035545.712303 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035545.812154 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035545.912099 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035546.012150 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035546.112123 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035546.212112 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035546.312124 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035546.412213 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035546.512206 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035546.612183 0.003426 0.000000 0.000000 0.000000 0.000000 0.000078 1.000000
1726035546.712083 0.013416 0.000003 0.000000 0.000000 0.000000 0.000260 1.000000
1726035546.812170 0.027655 0.000009 0.000000 0.000000 0.000000 0.000128 1.000000
1726035546.912095 0.044429 0.000012 0.000000 0.000000 0.000000 -0.000026 1.000000
1726035547.012022 0.061929 0.000009 0.000000 0.000000 0.000000 -0.000013 1.000000
1726035547.112093 0.077900 0.000013 0.000000 0.000000 0.000000 0.000323 1.000000
1726035547.212098 0.092534 0.000023 0.000000 0.000000 0.000000 0.000370 1.000000
1726035547.312105 0.106449 0.000036 0.000000 0.000000 0.000000 0.000620 1.000000
1726035547.412157 0.120803 0.000057 0.000000 0.000000 0.000000 0.000703 1.000000
1726035547.512097 0.135915 0.000074 0.000000 0.000000 0.000000 0.000419 1.000000
1726035547.612017 0.151441 0.000088 0.000000 0.000000 0.000000 0.000638 1.000000
1726035547.711971 0.166824 0.000111 0.000000 0.000000 0.000000 0.000835 1.000000
1726035547.812064 0.182056 0.000137 0.000000 0.000000 0.000000 0.000991 1.000000
1726035547.911930 0.196915 0.000169 0.000000 0.000000 0.000000 0.001169 0.999999
1726035548.011987 0.211713 0.000209 0.000000 0.000000 0.000000 0.001520 0.999999
1726035548.112087 0.226795 0.000254 0.000000 0.000000 0.000000 0.001352 0.999999
1726035548.212071 0.241920 0.000287 0.000000 0.000000 0.000000 0.000832 1.000000
1726035548.312008 0.257076 0.000312 0.000000 0.000000 0.000000 0.000912 1.000000
1726035548.411926 0.272159 0.000340 0.000000 0.000000 0.000000 0.000995 1.000000
1726035548.511926 0.286918 0.000374 0.000000 0.000000 0.000000 0.001476 0.999999
