# timestamp x y z qx qy qz qw
1726035539.411232 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035539.512517 -0.001487 0.000311 -0.001400 0.000000 0.000000 -0.000030 1.000000
1726035539.612536 -0.000920 0.000174 -0.000905 0.000000 0.000000 0.000068 1.000000
1726035539.712510 -0.000712 -0.001113 0.001068 0.000000 0.000000 0.000216 1.000000
1726035539.811143 0.000536 -0.000206 -0.000130 0.000000 0.000000 0.000272 1.000000
1726035539.911128 -0.002196 0.000203 -0.001317 0.000000 0.000000 0.000058 1.000000
1726035540.012465 -0.001032 -0.001027 0.003137 0.000000 0.000000 0.000097 1.000000
1726035540.112530 -0.000815 -0.001251 -0.000030 0.000000 0.000000 0.000136 1.000000
1726035540.212503 -0.001039 -0.000495 -0.000307 0.000000 0.000000 0.000133 1.000000
1726035540.312558 -0.000508 -0.000579 -0.000120 0.000000 0.000000 0.000186 1.000000
1726035540.412514 -0.001258 0.000635 0.000189 0.000000 0.000000 0.000261 1.000000
1726035540.512551 -0.000707 0.000106 -0.000638 0.000000 0.000000 0.000273 1.000000
1726035540.612479 -0.000089 -0.000724 -0.000461 0.000000 0.000000 0.000314 1.000000
1726035540.712546 -0.001361 0.000119 -0.000367 0.000000 0.000000 0.000210 1.000000
1726035540.812524 -0.001098 0.000068 0.001166 0.000000 0.000000 0.000264 1.000000
1726035540.912492 -0.000732 -0.000052 -0.000436 0.000000 0.000000 0.000209 1.000000
1726035541.012540 0.000147 0.000158 -0.000025 0.000000 0.000000 0.000279 1.000000
1726035541.112509 -0.001228 0.001479 0.000541 0.000000 0.000000 0.000193 1.000000
1726035541.212548 -0.000464 -0.000114 0.000386 0.000000 0.000000 0.000297 1.000000
1726035541.312542 -0.001260 -0.000340 -0.000180 0.000000 0.000000 0.000212 1.000000
1726035541.412452 -0.001513 0.000121 0.000000 0.000000 0.000000 0.000268 1.000000
1726035541.512492 -0.000989 0.000126 0.000183 0.000000 0.000000 0.000296 1.000000
1726035541.612530 -0.000814 0.001257 0.000160 0.000000 0.000000 0.000171 1.000000
1726035541.712410 -0.000421 0.000711 -0.000084 0.000000 0.000000 0.000295 1.000000
1726035541.812435 -0.000491 0.001449 0.000301 0.000000 0.000000 0.000271 1.000000
1726035541.912454 -0.000490 0.000927 0.000407 0.000000 0.000000 0.000300 1.000000
1726035542.012474 -0.000357 0.000592 0.000773 0.000000 0.000000 0.000369 1.000000
1726035542.112341 -0.001472 0.001358 -0.000054 0.000000 0.000000 0.000315 1.000000
1726035542.212436 -0.000432 0.000991 0.000404 0.000000 0.000000 0.000389 1.000000
1726035542.312324 -0.000507 0.000510 0.000302 0.000000 0.000000 0.000412 1.000000
1726035542.412491 -0.000648 0.000710 0.000361 0.000000 0.000000 0.000367 1.000000
1726035542.512311 -0.000983 0.001175 0.000520 0.000000 0.000000 0.000331 1.000000
1726035542.612293 -0.000182 -0.000177 0.000005 0.000000 0.000000 0.000421 1.000000
1726035542.712310 -0.000179 0.000438 -0.000059 0.000000 0.000000 0.000446 1.000000
1726035542.812322 -0.000694 0.000086 0.000478 0.000000 0.000000 0.000391 1.000000
1726035542.912390 0.000223 -0.000133 0.000505 0.000000 0.000000 0.000495 1.000000
1726035543.012342 -0.000504 0.000947 0.000852 0.000000 0.000000 0.000466 1.000000
1726035543.112403 -0.000422 0.000455 0.001885 0.000000 0.000000 0.000454 1.000000
1726035543.212356 0.000012 0.000489 -0.000117 0.000000 0.000000 0.000421 1.000000
1726035543.312416 -0.000381 0.000587 0.000095 0.000000 0.000000 0.000412 1.000000
1726035543.412240 -0.000468 0.000913 0.000203 0.000000 0.000000 0.000444 1.000000
1726035543.512382 -0.001316 0.000581 0.001061 0.000000 0.000000 0.000410 1.000000
1726035543.612423 -0.000445 0.001395 0.000325 0.000000 0.000000 0.000451 1.000000
1726035543.712301 -0.000583 0.000630 -0.000597 0.000000 0.000000 0.000472 1.000000
1726035543.812345 -0.001362 0.000317 -0.000947 0.000000 0.000000 0.000391 1.000000
1726035543.912321 -0.000994 0.001538 0.000355 0.000000 0.000000 0.000457 1.000000
1726035544.012327 -0.001473 0.001015 0.000682 0.000000 0.000000 0.000431 1.000000
1726035544.112332 -0.000957 0.001144 0.000050 0.000000 0.000000 0.000487 1.000000
1726035544.212400 -0.000968 0.001211 -0.000506 0.000000 0.000000 0.000484 1.000000
1726035544.312281 -0.000974 0.001536 0.000324 0.000000 0.000000 0.000554 1.000000
1726035544.412224 -0.001361 0.002108 -0.000064 0.000000 0.000000 0.000593 1.000000
1726035544.512171 -0.000622 0.001120 0.000412 0.000000 0.000000 0.000608 1.000000
1726035544.612271 -0.000810 0.001565 0.000536 0.000000 0.000000 0.000640 1.000000
1726035544.712198 -0.001498 0.002106 0.000697 0.000000 0.000000 0.000573 1.000000
1726035544.812273 -0.000924 0.001374 0.001528 0.000000 0.000000 0.000571 1.000000
1726035544.912212 -0.000912 0.001013 0.000271 0.000000 0.000000 0.000517 1.000000
1726035545.012197 -0.000044 0.000804 0.000540 0.000000 0.000000 0.000624 1.000000
1726035545.112280 0.000222 0.001195 0.000727 0.000000 0.000000 0.000616 1.000000
1726035545.212153 -0.000411 0.001559 0.001064 0.000000 0.000000 0.000563 1.000000
1726035545.312211 0.000225 0.001806 0.000121 0.000000 0.000000 0.000543 1.000000
1726035545.412264 0.000465 0.001959 0.000889 0.000000 0.000000 0.000602 1.000000
1726035545.512255 0.000130 0.002174 0.000308 0.000000 0.000000 0.000543 1.000000
1726035545.612239 -0.000053 0.001904 0.000042 0.000000 0.000000 0.000500 1.000000
1726035545.712303 0.000958 0.001966 0.001312 0.000000 0.000000 0.000567 1.000000
1726035545.812154 0.000162 0.001778 0.000624 0.000000 0.000000 0.000497 1.000000
1726035545.912099 -0.000799 0.002340 0.000658 0.000000 0.000000 0.000495 1.000000
