# timestamp x y z qx qy qz qw
1726035539.411232 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035539.512517 0.004917 -0.002161 -0.002182 0.000000 0.000000 0.000264 1.000000
1726035539.612536 -0.000259 0.000501 -0.010549 0.000000 0.000000 -0.000049 1.000000
1726035539.712510 0.000166 -0.000689 -0.005836 0.000000 0.000000 0.000065 1.000000
1726035539.811143 0.000358 0.000873 -0.003318 0.000000 0.000000 0.000256 1.000000
1726035539.911128 -0.003057 0.001558 -0.004198 0.000000 0.000000 -0.000102 1.000000
1726035540.012465 -0.001667 0.001322 -0.002050 0.000000 0.000000 -0.000191 1.000000
1726035540.112530 -0.000932 0.000773 0.000516 0.000000 0.000000 -0.000061 1.000000
1726035540.212503 -0.000718 0.002555 0.005221 0.000000 0.000000 0.000100 1.000000
1726035540.312558 -0.003735 0.005734 0.002388 0.000000 0.000000 -0.000148 1.000000
1726035540.412514 -0.004637 0.003985 0.000858 0.000000 0.000000 -0.000007 1.000000
1726035540.512551 -0.001517 0.002444 0.003850 0.000000 0.000000 -0.000083 1.000000
1726035540.612479 -0.000418 -0.000022 0.004870 0.000000 0.000000 0.000052 1.000000
1726035540.712546 -0.004445 0.003116 -0.003109 0.000000 0.000000 -0.000182 1.000000
1726035540.812524 -0.004219 0.007809 0.002351 0.000000 0.000000 -0.000203 1.000000
1726035540.912492 -0.003098 0.002425 0.002399 0.000000 0.000000 -0.000036 1.000000
1726035541.012540 -0.007649 0.005339 0.001085 0.000000 0.000000 -0.000122 1.000000
1726035541.112509 -0.007752 0.004000 0.000806 0.000000 0.000000 -0.000168 1.000000
1726035541.212548 -0.003119 0.004343 -0.000478 0.000000 0.000000 -0.000163 1.000000
1726035541.312542 -0.003109 0.004246 0.005343 0.000000 0.000000 -0.000264 1.000000
1726035541.412452 -0.005007 0.002122 0.006469 0.000000 0.000000 -0.000199 1.000000
1726035541.512492 -0.006484 0.003748 0.000760 0.000000 0.000000 -0.000271 1.000000
1726035541.612530 -0.005212 0.007569 -0.001015 0.000000 0.000000 -0.000257 1.000000
1726035541.712410 -0.004466 0.004407 -0.002900 0.000000 0.000000 -0.000172 1.000000
1726035541.812435 -0.006508 0.003697 0.004525 0.000000 0.000000 -0.000375 1.000000
1726035541.912454 -0.007116 0.002348 0.005934 0.000000 0.000000 -0.000207 1.000000
1726035542.012474 -0.006113 0.002806 0.000448 0.000000 0.000000 -0.000133 1.000000
1726035542.112341 -0.005520 0.001470 0.004325 0.000000 0.000000 -0.000068 1.000000
1726035542.212436 -0.004987 0.002236 -0.000252 0.000000 0.000000 -0.000017 1.000000
1726035542.312324 -0.007165 0.005390 0.000961 0.000000 0.000000 -0.000284 1.000000
1726035542.412491 0.000223 0.000696 0.010026 0.000000 0.000000 0.000103 1.000000
1726035542.512311 -0.004614 -0.002336 0.006339 0.000000 0.000000 0.000035 1.000000
1726035542.612293 -0.012174 0.007135 0.007431 0.000000 0.000000 -0.000295 1.000000
