# timestamp x y z qx qy qz qw
1726035539.411232 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035539.512517 0.001121 0.000461 -0.000218 0.000000 0.000000 -0.000089 1.000000
1726035539.612536 0.000558 -0.000635 -0.001042 0.000000 0.000000 0.000084 1.000000
1726035539.712510 -0.000990 -0.000985 -0.000736 0.000000 0.000000 0.000068 1.000000
1726035539.811143 0.000420 0.000522 -0.000315 0.000000 0.000000 0.000051 1.000000
1726035539.911128 0.000436 0.000377 -0.000359 0.000000 0.000000 -0.000053 1.000000
1726035540.012465 0.000416 0.000684 -0.000613 0.000000 0.000000 -0.000077 1.000000
1726035540.112530 0.000084 -0.000169 -0.000307 0.000000 0.000000 0.000016 1.000000
1726035540.212503 -0.000451 0.000591 0.000425 0.000000 0.000000 -0.000124 1.000000
1726035540.312558 -0.000600 0.001297 0.000192 0.000000 0.000000 -0.000033 1.000000
1726035540.412514 -0.001000 0.002261 0.000225 0.000000 0.000000 0.000048 1.000000
1726035540.512551 -0.001910 0.002069 0.000732 0.000000 0.000000 0.000015 1.000000
1726035540.612479 -0.001558 0.000417 0.000909 0.000000 0.000000 0.000266 1.000000
1726035540.712546 -0.002224 0.001600 0.000096 0.000000 0.000000 0.000099 1.000000
1726035540.812524 -0.001219 0.001862 0.000417 0.000000 0.000000 0.000160 1.000000
1726035540.912492 -0.001026 0.002015 -0.000040 0.000000 0.000000 0.000130 1.000000
1726035541.012540 -0.000797 0.001943 0.000317 0.000000 0.000000 0.000294 1.000000
1726035541.112509 -0.001716 0.003419 0.000468 0.000000 0.000000 -0.000008 1.000000
1726035541.212548 -0.001279 0.001451 0.000437 0.000000 0.000000 0.000215 1.000000
1726035541.312542 -0.000998 0.001207 0.000823 0.000000 0.000000 0.000162 1.000000
1726035541.412452 -0.001205 0.001341 0.000907 0.000000 0.000000 0.000242 1.000000
1726035541.512492 -0.001267 0.001776 0.000434 0.000000 0.000000 0.000266 1.000000
1726035541.612530 -0.001590 0.003692 0.000384 0.000000 0.000000 0.000010 1.000000
1726035541.712410 -0.001214 0.003118 0.000189 0.000000 0.000000 0.000081 1.000000
1726035541.812435 -0.002026 0.003078 0.000655 0.000000 0.000000 0.000007 1.000000
