# timestamp x y z qx qy qz qw
1726035539.411232 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035539.512517 -0.002104 0.000310 -0.000743 0.000000 0.000000 -0.000061 1.000000
1726035539.612536 -0.005051 0.001906 -0.004928 0.000000 0.000000 -0.000206 1.000000
1726035539.712510 -0.001639 0.000576 -0.002139 0.000000 0.000000 0.000155 1.000000
1726035539.811143 -0.001050 0.002761 -0.005333 0.000000 0.000000 0.000059 1.000000
1726035539.911128 -0.003713 0.002892 -0.005889 0.000000 0.000000 -0.000059 1.000000
1726035540.012465 -0.005809 0.002233 -0.005218 0.000000 0.000000 -0.000161 1.000000
1726035540.112530 -0.001993 0.000378 -0.003811 0.000000 0.000000 0.000010 1.000000
1726035540.212503 -0.002356 0.002748 -0.004601 0.000000 0.000000 0.000047 1.000000
1726035540.312558 -0.002241 0.002282 -0.003236 0.000000 0.000000 0.000028 1.000000
1726035540.412514 -0.002928 0.002630 -0.004094 0.000000 0.000000 0.000066 1.000000
1726035540.512551 -0.002171 0.002636 -0.000438 0.000000 0.000000 0.000067 1.000000
1726035540.612479 -0.003585 0.003239 0.001318 0.000000 0.000000 0.000083 1.000000
1726035540.712546 -0.003326 0.002892 0.000445 0.000000 0.000000 0.000023 1.000000
1726035540.812524 -0.001119 0.002426 0.001369 0.000000 0.000000 0.000192 1.000000
1726035540.912492 -0.003901 0.004749 -0.003041 0.000000 0.000000 -0.000011 1.000000
1726035541.012540 -0.001014 0.003005 0.004695 0.000000 0.000000 0.000100 1.000000
1726035541.112509 -0.002646 0.005419 0.002620 0.000000 0.000000 0.000077 1.000000
1726035541.212548 -0.002272 0.001770 0.003589 0.000000 0.000000 0.000113 1.000000
1726035541.312542 -0.001764 0.002358 0.007010 0.000000 0.000000 0.000079 1.000000
1726035541.412452 -0.002447 0.004537 0.002466 0.000000 0.000000 0.000080 1.000000
1726035541.512492 -0.003864 0.004288 0.000345 0.000000 0.000000 0.000034 1.000000
1726035541.612530 -0.003540 0.005204 0.004200 0.000000 0.000000 0.000086 1.000000
1726035541.712410 -0.003676 0.005968 0.002810 0.000000 0.000000 0.000058 1.000000
1726035541.812435 -0.004757 0.006663 0.004118 0.000000 0.000000 -0.000037 1.000000
1726035541.912454 -0.004199 0.005438 0.004807 0.000000 0.000000 0.000046 1.000000
1726035542.012474 -0.000917 0.003796 0.008919 0.000000 0.000000 0.000204 1.000000
1726035542.112341 -0.004005 0.005601 0.000933 0.000000 0.000000 0.000031 1.000000
1726035542.212436 -0.004332 0.005617 0.002235 0.000000 0.000000 0.000055 1.000000
1726035542.312324 -0.004124 0.005979 0.004060 0.000000 0.000000 0.000112 1.000000
1726035542.412491 -0.003304 0.003733 0.007307 0.000000 0.000000 0.000124 1.000000
1726035542.512311 -0.001057 0.004510 0.008113 0.000000 0.000000 0.000213 1.000000
1726035542.612293 -0.002466 0.004659 0.007947 0.000000 0.000000 0.000142 1.000000
1726035542.712310 -0.004695 0.006448 0.003314 0.000000 0.000000 0.000034 1.000000
