# timestamp x y z qx qy qz qw
1726035539.411232 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1726035539.512517 -0.002124 0.000445 -0.001999 0.000000 0.000000 -0.000043 1.000000
1726035539.612536 -0.001457 0.000670 -0.001101 0.000000 0.000000 0.000012 1.000000
1726035539.712510 -0.000982 -0.000957 0.001901 0.000000 0.000000 0.000203 1.000000
1726035539.811143 0.000262 0.000095 -0.000149 0.000000 0.000000 0.000219 1.000000
1726035539.911128 -0.003087 0.000553 -0.001791 0.000000 0.000000 0.000036 1.000000
1726035540.012465 -0.001061 -0.001336 0.004086 0.000000 0.000000 0.000101 1.000000
1726035540.112530 -0.000405 -0.001501 -0.000206 0.000000 0.000000 0.000118 1.000000
1726035540.212503 -0.000010 -0.000636 -0.000852 0.000000 0.000000 0.000178 1.000000
1726035540.312558 -0.000432 -0.000698 -0.001066 0.000000 0.000000 0.000194 1.000000
1726035540.412514 -0.000585 0.000552 -0.000757 0.000000 0.000000 0.000269 1.000000
1726035540.512551 0.000105 -0.000262 -0.001853 0.000000 0.000000 0.000227 1.000000
1726035540.612479 0.000883 -0.000688 -0.001469 0.000000 0.000000 0.000254 1.000000
1726035540.712546 0.000536 -0.000248 -0.001430 0.000000 0.000000 0.000212 1.000000
1726035540.812524 -0.000246 -0.000280 0.001163 0.000000 0.000000 0.000222 1.000000
1726035540.912492 -0.000115 -0.000450 -0.001076 0.000000 0.000000 0.000150 1.000000
1726035541.012540 0.000113 0.000372 -0.000030 0.000000 0.000000 0.000195 1.000000
1726035541.112509 -0.001310 0.001410 -0.000497 0.000000 0.000000 0.000163 1.000000
1726035541.212548 0.000090 -0.000468 -0.000589 0.000000 0.000000 0.000235 1.000000
1726035541.312542 -0.000897 -0.000706 -0.000416 0.000000 0.000000 0.000140 1.000000
1726035541.412452 -0.000810 0.000057 -0.000383 0.000000 0.000000 0.000213 1.000000
1726035541.512492 -0.000553 0.000006 -0.000382 0.000000 0.000000 0.000247 1.000000
1726035541.612530 -0.000947 0.001342 -0.000420 0.000000 0.000000 0.000180 1.000000
1726035541.712410 0.000293 -0.000054 -0.000850 0.000000 0.000000 0.000309 1.000000
1726035541.812435 -0.000014 0.001128 -0.000646 0.000000 0.000000 0.000208 1.000000
1726035541.912454 -0.000213 0.000642 -0.000624 0.000000 0.000000 0.000214 1.000000
1726035542.012474 -0.000168 -0.000024 0.000175 0.000000 0.000000 0.000251 1.000000
1726035542.112341 -0.001425 0.000933 -0.001003 0.000000 0.000000 0.000202 1.000000
1726035542.212436 -0.000094 0.000671 -0.000373 0.000000 0.000000 0.000240 1.000000
